name	term	lev	seq	value
"protein folding"	GO:0061077;GO:0006457	2	isogroup11911	-1
"protein folding"	GO:0061077;GO:0006457	2	isogroup12745	0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup13139	1
"protein folding"	GO:0061077;GO:0006457	2	isogroup13652	-0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup13854	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup13909	1.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup13956	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup14241	0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup14578	-0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup14853	-10
"protein folding"	GO:0061077;GO:0006457	2	isogroup15362	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup15402	-0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup16486	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup16718	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup17195	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup1723	0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup17515	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup17750	-0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup17895	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup17975	-0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup18227	-6.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup19237	1.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup19713	-2.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup19733	0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup21420	-8.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup21502	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup21565	1.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup219	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup21968	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup21970	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup22055	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup2218	0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup22853	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup234	-2.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup25412	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup2565	5.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup25798	-2.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup25800	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup26126	0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup26416	-0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup26707	-4.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup26720	0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup2742	0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup27490	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup27555	0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup28962	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup2960	2.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup29872	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup29930	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup30722	-1
"protein folding"	GO:0061077;GO:0006457	2	isogroup31017	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup31378	-0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup32465	-0.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup33556	0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup34616	-0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup34715	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup34745	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup35424	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup35580	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup36063	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup36768	-0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup37458	0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup37590	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup3762	1
"protein folding"	GO:0061077;GO:0006457	2	isogroup38444	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup38533	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup38840	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup39279	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup3954	1.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup39648	-0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup4172	3.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup41905	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup42009	0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup42401	0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup43082	0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup45000	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup45191	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup5530	-6.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup5575	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup609	-0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup6681	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup6787	1
"protein folding"	GO:0061077;GO:0006457	2	isogroup6933	0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup7224	-1
"protein folding"	GO:0061077;GO:0006457	2	isogroup7439	-1.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup8484	-1.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup8649	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup8666	3.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup9227	-0.3
"protein folding"	GO:0061077;GO:0006457	2	isogroup99	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup10224	-10
"protein folding"	GO:0061077;GO:0006457	2	isogroup12062	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup12466	0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup12921	-1.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup12949	-0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup16360	-3.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup16737	-2.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup17065	-9.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup1739	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup17935	-10
"protein folding"	GO:0061077;GO:0006457	2	isogroup18726	-0.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup20083	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup23098	-7.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup23308	-0.5
"protein folding"	GO:0061077;GO:0006457	2	isogroup23988	-1.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup24069	-1.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup24826	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup26573	0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup26958	0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup28286	-0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup29401	-10
"protein folding"	GO:0061077;GO:0006457	2	isogroup29619	0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup29763	-0.1
"protein folding"	GO:0061077;GO:0006457	2	isogroup29981	-1
"protein folding"	GO:0061077;GO:0006457	2	isogroup31150	-2
"protein folding"	GO:0061077;GO:0006457	2	isogroup3265	0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup34823	0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup35256	0.8
"protein folding"	GO:0061077;GO:0006457	2	isogroup43642	-0.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup44458	-0.4
"protein folding"	GO:0061077;GO:0006457	2	isogroup4469	-0.9
"protein folding"	GO:0061077;GO:0006457	2	isogroup4751	-2.2
"protein folding"	GO:0061077;GO:0006457	2	isogroup5736	0.6
"protein folding"	GO:0061077;GO:0006457	2	isogroup6004	-2.7
"protein folding"	GO:0061077;GO:0006457	2	isogroup6606	0
"protein folding"	GO:0061077;GO:0006457	2	isogroup7199	0.2
